Nível 1,Quantidade Nomeações
Secretaria de Estado da Casa Civil,47
Secretaria de Estado de Trabalho e Renda,8
Secretaria de Estado do Gabinete do Governador,8
Secretaria de Estado de Transformação Digital,5
Secretaria de Estado de Fazenda,5
Secretaria de Estado do Ambiente e Sustentabilidade,5
Pecuária e Abastecimento,4
Comércio e Serviços,4
Secretaria de Estado de Desenvolvimento Social e Direitos Humanos,4
Secretaria de Estado de Habitação de Interesse Social,4
Secretaria de Estado de Turismo,4
Secretaria de Estado de Cultura e Economia Criativa,4
Subsecretaria de Gestão Administrativa,4
Secretaria de Estado de Administração Penitenciária,3
Secretaria de Estado de Saúde,3
Gabinete do Secretário,3
Subsecretaria Executiva,3
Secretaria de Estado de Educação,3
Secretaria de Estado de Esporte e Lazer,3
Divisão de Apoio Operacional,2
Fundo Único de Previdência Social do Estado do Rio de Janeiro - RIOPREVIDÊNCIA,2
Secretaria de Estado de Infraestrutura e Obras Públicas,2
Secretaria de Estado de Defesa Civil,2
Secretaria de Estado das Cidades,2
Secretaria de Estado de Governo,2
Secretaria de Estado da Mulher,1
Instituto de Assistência dos Servidores do Estado do Rio de Janeiro - IASERJ,1
Indústria,1
Diretoria de Assistência,1
Diretoria Geral de Administração e Finanças,1
Coordenadoria Geral de Integração de Serviços,1
Diretoria de Licenciamento Ambiental,1
Secretaria de Estado de Transporte e Mobilidade Urbana,1
Secretaria de Estado de Polícia Militar,1
Secretaria de Estado de Planejamento e Gestão,1
Secretaria de Estado de Energia e Economia do Mar,1
Subsecretaria Geral de Polícia Militar,1
Subsecretaria de Assuntos Jurídicos,1
Subsecretaria de Auditoria e Controle,1
Subsecretaria de Estado de Receita,1
Subsecretaria de Gestão de Ensino,1
Subsecretaria de Planejamento e Ações Estratégicas,1
Subsecretaria de Relações Governamentais,1
Superintendência de Fiscalização e Inteligência Fiscal,1
Superintendência de Gestão das Regionais Administrativas,1
Superintendência de Gestão das Regionais Pedagógicas,1
Tecnologia e Inovação,1
Vice-Presidência Executiva,1
